id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
english-ed2/ep2438/Z300661875,35,25,35
english/pennecu1/Z200459978,45,35,50
english/wattsisa/Z300523040,15,14,16
english/hardytho/Z200137433,10,8,16
c20-american/da22040/Z300203417,37,28,68
english/fawkesfr/Z300372956,8,8,10
c20-american/am22202/Z300249313,36,10,50
c20-american/am20026/Z400208458,8,4,14
english/arnoldma/Z300263435,14,12,28
english/boldhenr/Z300283763,42,26,56
c20-american/am20002/Z300202645,8,0,31
english-ed2/miscell3/Z300641721,34,30,36
english/mooretho/Z300445264,18,12,24
english/miscell3/Z300641671,19,15,32
english-ed2/ep2626/Z300677415,33,14,40
american/am0590/Z200166639,8,6,10
american/am0912/Z300176242,46,34,52
english-ed2/ep2565/Z200672994,17,14,18
c20-english/car0802/Z300296399,15,2,29
english-ed2/ep2625/Z200677385,28,18,32
english/stuarthy/Z200500607,10,8,16
c20-american/am22030/Z400231109,2,0,20
c20-english/car0802/Z300296105,4,2,26
english/smartchr/Z300487909,73,58,80
african-american/wheatley/Z200588300,18,16,18
english/eliotjoh/Z200345354,16,10,20
american/am1066/Z300188326,39,15,48
english-ed2/ep2493/Z200665527,49,34,59
english/bluntwil/Z400283173,10,4,15
c20-english/ep65001/Z300308248,18,12,20
english/skipseyj/Z200486957,23,18,42
c20-american/am22172/Z300247134,2,0,20
c20-english/ep58001/Z300607940,21,14,34
english/mackaych/Z300422332,32,28,36
c20-english/ep58001/Z400607334,0,0,15
c20-english/car2302/Z200592164,10,8,14
c20-english/ep41001/Z300306619,35,28,40
english/humphrey/Z200402013,40,32,44
american/am0240/Z200152429,20,8,32
english/mantrich/Z300425119,11,9,14
english/ellisonh/Z300348814,11,11,14
english/mollineu/Z200442975,34,26,40
english-ed2/ep2562/Z200671751,30,22,33
english/steelean/Z200496543,34,32,36
english/paynejoh/Z300458122,20,16,32
c20-american/am22206/Z400249711,5,0,13
african-american/campbel3/Z200295282,22,16,32
english/clarejoh/Z300313447,6,2,15
c20-american/am23056/Z300255209,23,12,159
american/am0313/Z200154748,51,41,55
english-ed2/ep2603/Z200674411,61,48,72
english/wordswwi/Z300543638,14,13,14
american/am1276/Z200197451,15,10,16
american/am0912/Z300176246,16,16,20
english/stephenj/Z400496601,53,38,60
american/am1035/Z200182679,38,36,40
american/am1335/Z200200426,83,35,93
english/wardfred/Z300520672,47,44,48
c20-english/car2302/Z200592025,8,0,16
english/miscell3/Z200441159,10,8,12
english/heyrickt/Z300394802,46,31,55
english/hoggjame/Z400397603,17,10,32
american/am1183/Z300192386,14,11,14
english/wardfred/Z300519150,38,29,48
english-ed2/galenorm/Z200678036,10,4,16
american/am0652/Z200168748,10,4,20
english/kemblefr/Z200408698,28,24,32
english/combewil/Z200318766,49,38,57
english-ed2/ep2381/Z300658620,18,16,18
english-ed2/clarejoh/Z300314691,12,6,16
english/lambchar/Z200411101,31,27,36
c20-english/ep20146/Z300585266,2,0,12
english/smithjam/Z300489356,8,6,10
english/palgrave/Z200455279,21,15,32
american/am0053/Z300145186,13,10,14
american/am0799/Z300173771,12,9,14
english-ed2/clarejoh/Z300314707,14,12,18
english/duckstep/Z300343224,9,8,12
english-ed2/ep2001/Z300624982,16,14,22
english/wardfred/Z300518903,26,16,26
english/wildeosc/Z400536333,13,11,14
c20-american/am20117/Z200223399,32,12,41
english-ed2/ep2309/Z200653930,18,13,18
english-ed2/ep2370/Z200657469,60,40,72
c20-american/am23096/Z300257054,16,4,23
english/wesleych/Z500529971,15,10,24
c20-american/am20114/Z300220903,11,9,30
english/bartonbe/Z200273508,12,10,14
c20-american/am22166/Z300245198,3,2,12
english/barneswi/Z200272732,17,10,32
english/clarejoh/Z300313130,16,8,32
english/leighto2/Z300415484,14,13,14
c20-english/ep20128/Z200582712,7,4,30
english/millerwi/Z300436599,20,14,30
