id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
english-ed2/ep2220/Z300651637,16,11,16
english-ed2/clarejoh/Z200646573,14,12,14
english/wattsisa/Z400522973,17,11,20
english/mooretho/Z300444991,15,11,20
english/wordswwi/Z400543249,14,9,14
american/am1013/Z300181837,19,16,20
english/devereau/Z300337893,14,10,14
english/wordswwi/Z300542894,16,13,16
american/am0977/Z200178254,11,4,15
english/smartchr/Z400487770,16,14,16
english/cowperwi/Z300323183,12,8,16
american/am0977/Z500178538,20,8,24
english/wattsisa/Z400522927,13,4,16
american/am0023/Z300142459,13,11,14
american/am0912/Z300176255,14,12,14
english-ed2/ep2117/Z300627800,15,10,20
english/wordswwi/Z400543485,11,10,14
english/stanley1/Z200496322,15,10,18
american/am0214/Z400150956,14,11,14
english-ed2/ep2518/Z300668807,20,10,20
english/wordswwi/Z400543261,12,8,14
english/wordswwi/Z300543630,10,6,14
faber/fa20402/Z300564341,8,4,14
american/am1160/Z200191704,11,10,16
english/vaughanh/Z400515668,10,6,14
c20-american/am20027/Z400208664,9,4,16
c20-american/am20114/Z300221066,7,5,13
english-ed2/ep2609/Z200674698,15,7,16
american/am0338/Z200155762,14,11,14
c20-american/am22124/Z300297963,6,4,14
english/aikinann/Z300139516,11,6,14
english/procterb/Z400467037,12,12,14
american/am0977/Z400178438,13,8,20
faber/fa1301/Z200561692,12,0,18
english/swinburn/Z400503148,14,12,14
faber/fa2601/Z200566356,12,6,14
c20-english/ep84001/Z300577329,9,4,15
english/swinburn/Z300503188,14,11,14
american/am0338/Z200156220,13,10,14
english/wordswwi/Z400543211,12,9,14
english/wordswwi/Z300543704,13,12,14
english/hardytho/Z300136805,14,14,14
american/am0427/Z200159599,12,10,16
american/am0076/Z200145527,19,14,20
english/byrongeo/Z300294000,15,11,16
english/wesleych/Z400525324,16,10,16
english/wallered/Z200516999,12,12,14
english-ed2/grayjohn/Z300679224,16,10,20
c20-english/ep20133/Z200598491,11,0,15
english-ed2/ep2258/Z300636518,10,8,15
c20-american/am22170/Z300246408,14,4,16
c20-american/am20097/Z300217062,11,4,14
english/wordswwi/Z400543113,14,11,14
english/southeyr/Z300494043,8,6,14
c20-african-american/da20018/Z200326765,16,8,16
c20-american/am20097/Z300217012,5,0,14
c20-american/am22171/Z300246712,11,9,14
english/sewardan/Z300482321,12,12,14
faber/fa1801/Z200563143,8,6,14
