id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines,line_sim
e6baac64,10,7,12,46.42857142857143
african-american/heardjos/Z200390423,13,8,15,
c4065701,12,8,15,53.16455696202531
african-american/hollyjos/Z200398261,7,0,13,
a418fe3f,10,8,13,41.666666666666664
african-american/hortonge/Z200399879,10,10,11,
ec5e73d4,7,7,11,46.875
african-american/hortonge/Z200399903,12,8,15,
6aa1cdf6,12,5,15,48.71794871794872
african-american/hortonge/Z200399932,12,6,12,
868911ba,11,6,12,56.25
african-american/hortonge/Z200399932,12,6,12,
ddbf77c4,7,4,12,53.968253968253975
african-american/hortonge/Z200399932,12,6,12,
e9312e89,8,4,12,82.1917808219178
african-american/hortonge/Z200399932,12,6,12,
18e22254,8,5,12,58.33333333333333
african-american/lambertm/Z200411253,12,4,15,
0dbd151d,14,11,15,50.63291139240506
african-american/lambertm/Z200411266,11,8,11,
9b51b86a,8,7,11,42.50000000000001
african-american/lambertm/Z200411290,14,14,15,
b7ee3a86,10,2,15,50.526315789473685
african-american/lambertm/Z200411302,6,0,15,
83b36a23,10,8,15,47.61904761904761
african-american/lambertm/Z200411302,6,0,15,
f2d47767,11,8,15,47.76119402985075
african-american/lambertm/Z200411302,6,0,15,
79320c88,9,6,15,48.48484848484848
african-american/lambertm/Z200411302,6,0,15,
96e96dd9,15,11,15,45.945945945945944
african-american/lambertm/Z200411314,8,4,11,
4ce12bbd,5,0,11,48.97959183673469
african-american/mcclella/Z200427523,12,4,15,
6a1697cc,15,14,15,48.93617021276596
african-american/mcclella/Z200427523,12,4,15,
a0265271,12,10,15,48.88888888888889
african-american/mcclella/Z200427523,12,4,15,
1e9245ae,13,11,15,47.31182795698925
african-american/menardjo/Z200427763,11,8,13,
e88083e1,12,9,13,45.45454545454546
african-american/rayhenri/Z200472990,11,4,15,
5a873257,9,4,15,44.18604651162791
african-american/rayhenri/Z200473004,6,2,15,
61d3b4e2,15,15,15,42.85714285714286
african-american/rowegeor/Z200479223,11,8,11,
26056871,9,8,11,43.47826086956522
african-american/rowegeor/Z300479227,10,6,11,
bf4ae1e8,9,7,11,41.666666666666664
african-american/rowegeor/Z300479245,10,9,11,
4507c701,6,4,11,43.99999999999999
african-american/rowegeor/Z300479286,9,8,11,
5d8cda08,8,6,11,50.0
african-american/shoemanc/Z200485563,9,7,10,
1f790c2f,8,4,10,45.90163934426229
african-american/shoemanc/Z200485608,8,8,11,
1095b574,10,5,11,47.36842105263158
african-american/shoemanc/Z200485608,8,8,11,
2f8a9a87,4,2,11,63.63636363636363
african-american/thompso7/Z200509571,10,2,11,
ad8afc2d,10,8,11,50.79365079365079
african-american/thompso7/Z200509573,10,8,10,
03971419,8,5,10,56.81818181818181
african-american/vandynew/Z200515382,13,12,13,
4cf5c32b,12,8,13,52.94117647058824
african-american/waldenal/Z200516690,9,6,15,
132a08c6,13,11,15,50.0
african-american/waldenal/Z200516690,9,6,15,
d3d37793,14,14,15,48.57142857142858
african-american/whitmana/Z300535230,12,11,15,
be32975c,13,11,15,51.21951219512195
african-american/whitmana/Z300535230,12,11,15,
ec1cbd64,13,11,15,47.31182795698925
american/am0009/Z200140211,13,12,15,
e0705b11,12,12,15,47.22222222222222
american/am0023/Z300142440,9,7,11,
ec925c31,8,6,11,58.33333333333333
american/am0023/Z300142521,13,12,14,
b02674a8,13,10,14,49.122807017543856
american/am0027/Z200142600,9,8,10,
d07cae23,8,6,10,54.0
american/am0027/Z200142600,9,8,10,
8ae82f3d,8,6,10,74.0
american/am0027/Z200142600,9,8,10,
493bc421,3,2,10,95.04950495049503
american/am0027/Z200142600,9,8,10,
b7133b63,10,8,10,68.68686868686868
american/am0027/Z200142648,12,8,13,
ea858b6e,9,6,13,45.333333333333336
american/am0027/Z200143110,13,12,15,
d6fc6807,14,14,15,53.84615384615385
american/am0027/Z200143110,13,12,15,
42f04cec,12,10,15,47.24409448818898
american/am0027/Z300142844,8,4,11,
53219f9e,9,8,11,43.333333333333336
american/am0027/Z300142844,8,4,11,
d230d1fc,10,8,11,48.27586206896552
american/am0027/Z300142844,8,4,11,
14cfc75a,9,6,11,63.49206349206349
american/am0027/Z300142874,11,11,11,
61534c47,10,6,11,50.0
american/am0027/Z300143268,13,13,15,
61cf8a61,11,8,15,49.27536231884058
american/am0027/Z300143288,12,8,13,
53661887,12,8,13,41.7910447761194
american/am0027/Z300143343,12,9,15,
4e79781d,15,12,15,48.10126582278481
american/am0027/Z300143343,12,9,15,
92a98572,11,9,15,49.35064935064936
american/am0027/Z300143588,12,6,15,
747ce3d7,14,13,15,46.15384615384615
american/am0027/Z300143602,9,7,10,
11c11530,9,7,10,49.35064935064936
american/am0027/Z300143687,10,6,10,
3253d9f4,6,2,10,42.42424242424242
american/am0027/Z300143687,10,6,10,
99fc85c0,9,6,10,41.379310344827594
american/am0027/Z300143687,10,6,10,
620b82ab,7,4,10,44.44444444444444
american/am0027/Z300143687,10,6,10,
fd89b9c6,8,8,10,42.666666666666664
american/am0027/Z300143700,13,10,15,
e21d780b,14,10,15,42.10526315789473
american/am0027/Z300143709,13,8,15,
627b4672,13,9,15,48.10126582278481
american/am0027/Z300143719,13,8,15,
5760428e,14,12,15,53.333333333333336
american/am0027/Z300143969,8,8,11,
f0947c0e,10,8,11,43.18181818181818
american/am0027/Z300143992,15,11,15,
72ae4fc4,9,9,15,54.28571428571429
american/am0027/Z300143992,15,11,15,
2a639db5,15,15,15,44.628099173553714
american/am0027/Z300143992,15,11,15,
4b84a8fc,14,13,15,43.75
american/am0027/Z300143992,15,11,15,
730e4866,13,7,15,47.45762711864406
american/am0027/Z300143992,15,11,15,
82114bc0,5,2,15,48.33333333333333
american/am0027/Z300144001,9,8,11,
ea6d9f66,11,10,11,48.0
american/am0027/Z300144091,11,9,13,
3b7b03a1,13,8,13,43.75
american/am0027/Z300144236,12,12,13,
1a4c437d,10,8,13,41.7910447761194
american/am0027/Z300144361,13,13,15,
3b78aa9d,14,10,15,48.64864864864865
american/am0027/Z300144361,13,13,15,
86eeefdd,11,6,15,51.61290322580645
american/am0027/Z300144361,13,13,15,
40a1d48f,8,4,15,48.48484848484848
american/am0027/Z300144436,7,6,11,
f7d5e17a,8,6,11,48.837209302325576
american/am0027/Z300144696,7,4,10,
985e5704,4,2,10,47.31182795698925
american/am0027/Z300144698,11,6,11,
36b172de,9,4,11,44.15584415584416
american/am0027/Z300144698,11,6,11,
b9835a5b,9,6,11,52.459016393442624
american/am0027/Z300144698,11,6,11,
40d8f8e1,9,8,11,51.11111111111111
american/am0027/Z300144698,11,6,11,
f1ddac0e,7,2,11,42.25352112676056
american/am0027/Z300144698,11,6,11,
c0688f47,4,3,11,49.382716049382715
american/am0027/Z300144704,10,6,10,
59d3822a,8,6,10,45.78313253012048
american/am0027/Z400142951,9,8,11,
905cac08,8,4,11,51.35135135135135
american/am0027/Z400143000,10,10,11,
1ad415ee,11,10,11,48.19277108433735
american/am0027/Z400144665,8,6,10,
7835986d,10,7,10,48.27586206896552
american/am0027/Z400144667,8,8,10,
637f638a,8,8,10,50.57471264367817
american/am0027/Z400144667,8,8,10,
7f7453fc,8,6,10,49.43820224719101
american/am0027/Z400144667,8,8,10,
8576f645,10,10,10,44.705882352941174
american/am0027/Z400144667,8,8,10,
70203947,6,2,10,47.05882352941176
american/am0027/Z400144667,8,8,10,
2b3ec2b1,9,6,10,45.97701149425287
american/am0053/Z300144980,8,8,10,
b4de8fe1,8,8,10,48.48484848484848
american/am0053/Z300144980,8,8,10,
b1162403,10,8,10,46.34146341463414
american/am0053/Z300144980,8,8,10,
0cf969ea,8,3,10,42.352941176470594
american/am0053/Z300144980,8,8,10,
7352e098,6,4,10,43.67816091954023
american/am0053/Z300144980,8,8,10,
cee69ace,6,0,10,44.73684210526315
american/am0053/Z300144980,8,8,10,
c4e23162,10,8,10,44.15584415584416
american/am0053/Z400145095,6,4,10,
9203ed3b,9,8,10,45.45454545454546
american/am0061/Z200145232,12,6,13,
456de737,11,4,13,41.55844155844156
american/am0061/Z200145242,9,4,15,
d18e48d5,12,10,15,62.16216216216216
american/am0065/Z200206056,6,0,13,
b8bae39b,5,0,13,44.99999999999999
american/am0065/Z200206148,8,2,14,
771dbb8d,8,2,14,100.0
american/am0065/Z200206148,8,2,14,
53979eef,9,4,14,71.26436781609196
american/am0065/Z200206501,14,12,15,
f2695f25,14,14,15,49.382716049382715
american/am0065/Z300207508,14,14,15,
3df4d5e8,13,7,15,46.34146341463414
american/am0065/Z300207512,3,3,13,
539c5645,13,12,13,41.860465116279066
american/am0065/Z300207512,3,3,13,
29135779,5,2,13,40.90909090909091
american/am0065/Z300207512,3,3,13,
c81d8222,6,4,13,48.97959183673469
american/am0065/Z300207512,3,3,13,
8f456769,4,0,13,51.764705882352935
american/am0065/Z300207512,3,3,13,
98ea39d9,7,5,13,47.5
american/am0073/Z200145449,9,4,11,
f41a659e,10,10,11,52.27272727272727
american/am0073/Z200145449,9,4,11,
5a04a482,9,4,11,100.0
american/am0073/Z200145449,9,4,11,
f59f1d70,9,6,11,50.0
american/am0073/Z200145449,9,4,11,
e54105f7,4,0,11,50.0
american/am0073/Z200145449,9,4,11,
45932257,4,0,11,44.44444444444444
american/am0073/Z200145449,9,4,11,
bab41de8,4,0,11,45.45454545454546
american/am0076/Z200145465,8,6,15,
cdcd5995,14,4,15,51.42857142857142
american/am0076/Z200145465,8,6,15,
b0292db4,8,2,15,40.0
american/am0076/Z200145465,8,6,15,
e76ce7d9,7,2,15,52.3076923076923
american/am0076/Z200145465,8,6,15,
21f3bce3,13,6,15,51.51515151515152
american/am0076/Z200145492,10,8,11,
4bb2b80b,11,7,11,46.57534246575342
american/am0076/Z200145527,14,10,15,
e039ab6c,13,10,15,52.17391304347826
american/am0076/Z200145528,7,0,13,
2fc51d2e,11,10,13,100.0
american/am0076/Z200145528,7,0,13,
e34c92ad,9,7,13,44.11764705882353
american/am0076/Z200145543,14,10,15,
246e5e5d,6,6,15,45.714285714285715
american/am0076/Z200145563,11,4,11,
42938f2a,11,7,11,53.65853658536586
american/am0076/Z200145563,11,4,11,
e090d4a8,7,4,11,43.83561643835616
american/am0076/Z200145604,6,6,11,
6ca1a8fe,6,4,11,64.0
american/am0076/Z200145604,6,6,11,
0ebc4497,6,4,11,53.968253968253975
american/am0085/Z200145928,6,0,11,
f6927318,10,8,11,43.0379746835443
american/am0085/Z200145950,11,6,13,
21808243,13,11,13,40.476190476190474
american/am0085/Z200145957,10,4,15,
1e22280e,12,10,15,46.913580246913575
american/am0093/Z200146188,12,12,15,
47080ed3,15,9,15,43.90243902439024
american/am0093/Z200146197,15,14,15,
561c6316,12,8,15,47.72727272727273
american/am0100/Z200146550,11,10,15,
8ab32e12,12,11,15,54.54545454545454
american/am0100/Z300146511,10,8,11,
a1176fbe,10,6,11,46.57534246575342
american/am0100/Z300146634,11,5,11,
49a1bdfb,7,3,11,42.25352112676056
american/am0102/Z200146743,11,10,13,
561bcf91,8,4,13,42.85714285714286
american/am0102/Z200146754,9,5,11,
36a20c48,8,6,11,69.56521739130434
american/am0102/Z200146754,9,5,11,
783f048b,10,8,11,62.7906976744186
american/am0102/Z200146786,10,10,15,
233b76ef,14,14,15,44.89795918367348
american/am0102/Z200147199,11,8,13,
0f60b3d6,13,8,13,47.36842105263158
american/am0102/Z200147199,11,8,13,
bb164bd7,13,9,13,44.44444444444444
american/am0102/Z200147199,11,8,13,
2cb099c9,9,7,13,41.463414634146346
american/am0102/Z200147199,11,8,13,
9aa80453,12,4,13,45.333333333333336
american/am0102/Z200147199,11,8,13,
16f22687,8,3,13,44.44444444444444
american/am0102/Z200147218,8,6,10,
3d458900,4,4,10,43.75
american/am0117/Z200147256,12,10,15,
8f61eb98,11,9,15,46.37681159420289
american/am0117/Z200147256,12,10,15,
69bb9cf9,12,12,15,46.37681159420289
american/am0117/Z200147256,12,10,15,
ead353ab,14,8,15,45.945945945945944
american/am0117/Z200147293,8,4,11,
087ba05b,8,2,11,47.76119402985075
american/am0134/Z200147813,9,4,15,
ce93e844,12,10,15,49.23076923076923
american/am0134/Z200147911,7,2,10,
8be6bc50,6,0,10,46.728971962616825
american/am0144/Z200148068,9,6,11,
a75f200b,8,6,11,56.41025641025641
american/am0144/Z200148068,9,6,11,
0f393a6b,10,8,11,77.77777777777779
american/am0144/Z200148068,9,6,11,
11700d70,8,6,11,55.172413793103445
american/am0160/Z200148652,4,4,15,
3719de9d,7,2,15,43.333333333333336
american/am0160/Z300148702,11,10,15,
2b1d1376,13,4,15,66.66666666666667
american/am0160/Z300148912,10,6,10,
651cd955,7,6,10,44.44444444444444
american/am0165/Z200149015,9,8,15,
292cd676,11,0,14,51.21951219512195
american/am0167/Z300149158,10,6,11,
eb039b27,9,8,11,44.827586206896555
american/am0167/Z300149175,14,12,15,
401f5aa3,14,10,15,55.88235294117647
american/am0167/Z300149185,7,4,12,
02214f28,11,10,12,45.16129032258065
american/am0167/Z500149216,8,6,13,
fe6b354b,6,6,13,46.666666666666664
american/am0172/Z200149276,35,25,35,
c72aaf91,29,22,35,52.3076923076923
american/am0172/Z200149298,7,5,10,
6fa38fd0,5,2,10,61.111111111111114
american/am0172/Z200149298,7,5,10,
186aeec2,8,4,10,71.23287671232876
american/am0172/Z200149298,7,5,10,
6aa123ee,8,6,10,56.75675675675676
american/am0172/Z200149298,7,5,10,
deed5925,7,4,10,55.88235294117647
american/am0172/Z200149298,7,5,10,
8c699dc9,7,0,10,58.33333333333333
american/am0172/Z200149298,7,5,10,
df589484,6,6,10,60.0
american/am0172/Z200149298,7,5,10,
b8e8d684,8,2,10,54.28571428571429
american/am0172/Z200149399,15,8,15,
37ad9f29,14,8,15,43.07692307692308
american/am0172/Z200149402,12,10,15,
ec38d8e5,10,7,15,45.070422535211264
american/am0172/Z200149404,8,5,11,
4df367e5,11,10,11,45.78313253012048
american/am0172/Z200149412,8,6,11,
e7bd085f,8,8,11,38.46153846153846
american/am0172/Z200149433,11,6,11,
c34c28dd,11,8,11,44.44444444444444
american/am0172/Z200149433,11,6,11,
09ca0282,9,8,11,42.666666666666664
american/am0172/Z200149447,11,8,15,
4b441449,15,10,15,47.05882352941176
american/am0172/Z200149838,10,6,11,
d4f6ccf3,7,7,11,49.23076923076923
american/am0172/Z200149838,10,6,11,
37ec917e,10,6,11,44.44444444444444
american/am0172/Z300149588,14,12,15,
aae4c49b,12,6,15,46.875
american/am0172/Z300149588,14,12,15,
d7408d6a,13,9,15,61.76470588235294
american/am0172/Z300149588,14,12,15,
76fc60e8,13,7,15,42.25352112676056
american/am0172/Z300149628,9,6,11,
f96a0a88,9,6,11,52.17391304347826
american/am0172/Z300149628,9,6,11,
b175cc1d,11,6,11,100.0
american/am0172/Z300149628,9,6,11,
9e2e79a3,11,10,11,44.44444444444444
american/am0172/Z300149628,9,6,11,
c308024c,4,2,11,46.57534246575342
american/am0172/Z300149628,9,6,11,
cc717d59,8,4,11,45.945945945945944
american/am0172/Z300149786,14,8,15,
c3c2104c,12,8,15,51.51515151515152
american/am0172/Z300149786,14,8,15,
c88a45fc,14,13,15,52.05479452054795
american/am0172/Z300149786,14,8,15,
5cb3cfb8,6,4,15,55.172413793103445
american/am0182/Z400150351,10,8,11,
f6bea2bd,6,4,11,47.05882352941176
american/am0214/Z300151275,7,4,11,
3d541b75,10,8,11,42.22222222222223
american/am0214/Z300151335,5,0,11,
fbf9184a,2,2,11,46.95652173913043
american/am0214/Z300151361,5,0,14,
f062837c,6,2,14,44.44444444444444
american/am0214/Z400151100,10,10,12,
298eabff,12,4,12,42.352941176470594
american/am0214/Z400151433,8,2,15,
41a59fd9,14,9,15,48.88888888888889
american/am0232/Z200151901,8,6,11,
76469cc3,4,2,11,46.666666666666664
american/am0232/Z200152115,12,8,15,
31e4dcf2,15,12,15,45.16129032258065
american/am0232/Z200152115,12,8,15,
fee2a8a5,13,11,15,45.56962025316456
american/am0232/Z200152155,10,10,13,
bb6d65cc,12,9,13,48.0
american/am0232/Z200152155,10,10,13,
2626921b,4,2,13,52.17391304347826
american/am0232/Z200152155,10,10,13,
