id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
english-ed2/ep2438/Z300661875,35,25,35
english/pennecu1/Z200459978,45,35,50
english/wattsisa/Z300523040,15,14,16
english/hardytho/Z200137433,10,8,16
english/fawkesfr/Z300372956,8,8,10
english/arnoldma/Z300263435,14,12,28
english/boldhenr/Z300283763,42,26,56
english-ed2/miscell3/Z300641721,34,30,36
english/mooretho/Z300445264,18,12,24
english-ed2/ep2626/Z300677415,33,14,40
english/miscell3/Z300641671,19,15,32
american/am0590/Z200166639,8,6,10
american/am0912/Z300176242,46,34,52
english-ed2/ep2565/Z200672994,17,14,18
english-ed2/ep2625/Z200677385,28,18,32
english/stuarthy/Z200500607,10,8,16
english/smartchr/Z300487909,73,58,80
african-american/wheatley/Z200588300,18,16,18
english/eliotjoh/Z200345354,16,10,20
american/am1066/Z300188326,39,15,48
english-ed2/ep2493/Z200665527,49,34,59
english/bluntwil/Z400283173,10,4,15
english/skipseyj/Z200486957,23,18,42
english/mackaych/Z300422332,32,28,36
english/humphrey/Z200402013,40,32,44
english/mantrich/Z300425119,11,9,14
american/am0240/Z200152429,20,8,32
english/ellisonh/Z300348814,11,11,14
english/mollineu/Z200442975,34,26,40
english-ed2/ep2562/Z200671751,30,22,33
english/steelean/Z200496543,34,32,36
english/paynejoh/Z300458122,20,16,32
african-american/campbel3/Z200295282,22,16,32
english/clarejoh/Z300313447,6,2,15
american/am0313/Z200154748,51,41,55
english-ed2/ep2603/Z200674411,61,48,72
english/wordswwi/Z300543638,14,13,14
american/am1276/Z200197451,15,10,16
american/am0912/Z300176246,16,16,20
english/stephenj/Z400496601,53,38,60
american/am1035/Z200182679,38,36,40
american/am1335/Z200200426,83,35,93
english/wardfred/Z300520672,47,44,48
english/miscell3/Z200441159,10,8,12
english/heyrickt/Z300394802,46,31,55
english/hoggjame/Z400397603,17,10,32
american/am1183/Z300192386,14,11,14
english/wardfred/Z300519150,38,29,48
english-ed2/galenorm/Z200678036,10,4,16
american/am0652/Z200168748,10,4,20
english/kemblefr/Z200408698,28,24,32
english/combewil/Z200318766,49,38,57
english-ed2/ep2381/Z300658620,18,16,18
english-ed2/clarejoh/Z300314691,12,6,16
english/lambchar/Z200411101,31,27,36
english/smithjam/Z300489356,8,6,10
english/palgrave/Z200455279,21,15,32
american/am0053/Z300145186,13,10,14
american/am0799/Z300173771,12,9,14
english-ed2/clarejoh/Z300314707,14,12,18
english/duckstep/Z300343224,9,8,12
english-ed2/ep2001/Z300624982,16,14,22
english/wardfred/Z300518903,26,16,26
english/wildeosc/Z400536333,13,11,14
english-ed2/ep2309/Z200653930,18,13,18
english-ed2/ep2370/Z200657469,60,40,72
english/wesleych/Z500529971,15,10,24
english/bartonbe/Z200273508,12,10,14
english/barneswi/Z200272732,17,10,32
english/clarejoh/Z300313130,16,8,32
english/leighto2/Z300415484,14,13,14
english/millerwi/Z300436599,20,14,30
english/crosland/Z200587517,39,6,52
english/rossetdg/Z500478419,12,6,17
english/doubleda/Z300341016,12,9,14
english/rossetdg/Z400478468,12,4,14
english/rossetch/Z300477723,26,18,42
american/am1051/Z200183284,18,7,24
american/am1046/Z200183189,25,16,34
english/bensonar/Z200277911,8,4,12
american/am1208/Z200193184,12,6,14
english/wesleych/Z400525997,22,17,40
american/am0240/Z300152865,12,8,24
english/bennettw/Z300277567,31,10,40
english/tupperma/Z300513111,21,17,25
english-ed2/clarejoh/Z300314746,20,14,32
english-ed2/bellhenr/Z200646906,49,30,80
english/fletcher/Z300375381,24,21,32
english/masseyge/Z200426791,33,29,48
english/kingharr/Z200410276,12,6,24
american/am0898/Z200175792,7,3,11
english/wardedwa/Z300517396,14,6,20
american/am0382/Z200158450,22,16,28
american/am0285/Z200154031,24,14,24
english/parnellt/Z300456058,123,105,132
english/evansseb/Z200364720,4,4,12
