id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
144612/where-did-the-handsome-beloved-go,0,0,25
poem/sonnet-131-id-sing-love-such-novel-fashion,7,0,14
poem/sonnet-102-if-no-love-o-god-what-fele-i-so,16,11,21
poem/sonnet-101-ways-apt-and-new-sing-love-id-find,14,12,14
45171/the-book-of-phillip-sparrow,117,67,142
45171/the-book-of-phillip-sparrow,117,67,142
45172/the-tunning-of-elenor-rumming,184,114,215
50012/colin-clout,57,44,59
45171/the-book-of-phillip-sparrow,117,67,142
45171/the-book-of-phillip-sparrow,117,67,142
poem/whoso-list-hunt-i-know-where-hind,12,11,14
45574/avising-the-bright-beams,13,8,14
45575/farewell-love-and-all-thy-laws-for-ever,13,13,14
45579/i-find-no-peace,13,7,14
45582/the-long-love-that-in-my-thought-doth-harbour,10,7,14
45584/my-galley-charged-with-forgetfulness,14,9,14
45590/unstable-dream,13,13,14
50015/stand-whoso-list,9,8,10
45578/i-abide-and-abide-and-better-abide,10,9,14
50016/wyatt-resteth-here,32,28,39
44216/written-with-a-diamond-on-her-window-at-woodstock,2,2,3
45657/when-i-was-fair-and-young,14,12,16
45658/ah-silly-pug-wert-thou-so-sore-afraid,17,11,21
44220/in-defiance-of-fortune,2,0,2
44280/and-if-i-did-what-then,18,18,24
44280/and-if-i-did-what-then,18,18,24
44283/the-steel-glass,55,6,81
44280/and-if-i-did-what-then,18,18,24
44280/and-if-i-did-what-then,18,18,24
45184/amoretti-iii-the-sovereign-beauty,13,11,14
45185/amoretti-xxii-this-holy-season,14,10,14
45186/amoretti-lxvii-like-as-a-huntsman,13,10,14
45187/amoretti-lxviii-most-glorious-lord-of-life,12,5,14
45188/amoretti-lxxiv-most-happy-letters,14,12,14
45189/amoretti-lxxv-one-day-i-wrote-her-name,13,10,14
45190/amoretti-lxxix-men-call-you-fair,12,12,14
45216/prosopopoia-or-mother-hubbards-tale,89,46,96
45218/the-shepheardes-calender-april,119,70,173
45219/the-shepheardes-calender-october,103,71,133
44939/the-nymphs-reply-to-the-shepherd,19,12,24
44939/the-nymphs-reply-to-the-shepherd,19,12,24
44939/the-nymphs-reply-to-the-shepherd,19,12,24
44939/the-nymphs-reply-to-the-shepherd,19,12,24
45152/astrophil-and-stella-1-loving-in-truth-and-fain-in-verse-my-love-to-show,14,11,14
45153/astrophil-and-stella-3-let-dainty-wits-cry-on-the-sisters-nine,12,9,14
45154/astrophil-and-stella-7-when-nature-made-her-chief-work-stellas-eyes,12,11,14
45155/astrophil-and-stella-15-you-that-do-search-for-every-purling-spring-,12,9,14
45156/astrophil-and-stella-20-fly-fly-my-friends-i-have-my-death-wound-fly,14,12,14
45157/astrophil-and-stella-23-the-curious-wits-seeing-dull-pensiveness,13,6,14
45158/astrophil-and-stella-31-with-how-sad-steps-o-moon-thou-climbst-the-skies,13,9,14
45159/astrophil-and-stella-33-i-might-unhappy-word-o-me-i-might,14,12,14
45160/astrophil-and-stella-39-come-sleep-o-sleep-the-certain-knot-of-peace,13,11,14
45161/astrophil-and-stella-41-having-this-day-my-horse-my-hand-my-lance-,14,12,14
45162/astrophil-and-stella-64-no-more-my-dear-no-more-these-counsels-try,13,12,14
45163/astrophil-and-stella-71-who-will-in-fairest-book-of-nature-know-,11,11,14
45164/astrophil-and-stella-84-highway-since-you-my-chief-parnassus-be,11,9,14
45165/astrophil-and-stella-92-be-your-words-made-good-sir-of-indian-ware,12,8,14
50081/astrophil-and-stella-63-o-grammar-rules-o-now-your-virtues-show,13,10,14
45169/song-from-arcadia-my-true-love-hath-my-heart-,14,10,14
45167/leave-me-o-love-which-reachest-but-to-dust,14,14,14
44311/caelica-22-i-with-whose-colours-myra-dressd-her-head,27,18,30
43920/a-coronet-for-his-mistress-philosophy,9,5,14
45183/the-burning-babe,15,12,16
55250/psalm-150,14,12,14
44152/idea-53-clear-ancor-on-whose-silver-sanded-shore,8,8,14
50642/idea-14-if-he-from-heaven-that-filched-that-living-fire,14,12,14
44156/idea-20-an-evil-spirit-your-beauty-haunts-me-still,12,6,14
44157/idea-31-methinks-i-see-some-crooked-mimic-jeer,11,5,14
44158/idea-37-dear-why-should-you-command-me-to-my-rest,14,10,14
44151/idea-51-calling-to-mind-since-first-my-love-begun,11,6,14
44153/idea-61-since-theres-no-help-come-let-us-kiss-and-part,12,10,14
44155/idea-6-how-many-paltry-foolish-painted-things,14,10,14
poem/julius-caesar-act-iii-scene-ii-friends-romans-countrymen-lend-me-your-ears,22,2,36
poem/julius-caesar-act-iii-scene-ii-be-patient-till-last,12,6,25
poem/julius-caesar-act-ii-scene-i-it-must-be-his-death-and-my-part,18,8,26
poem/julius-caesar-act-i-scene-ii-why-man-he-doth-bestride-narrow-world,12,2,26
poem/julius-caesar-act-i-scene-ii-i-know-virtue-be-you-brutus,28,9,43
poem/then-let-not-winters-ragged-hand-deface-sonnet-6,14,12,14
poem/me-fair-friend-you-never-can-be-old-sonnet-104,12,12,14
poem/o-thou-my-lovely-boy-who-thy-power-sonnet-126,10,8,12
poem/poor-soul-centre-my-sinful-earth-sonnet-146,12,12,14
poem/waves-make-towards-pebbled-shore-sonnet-60,12,8,14
poem/womans-face-natures-own-hand-painted-sonnet-20,14,9,14
poem/make-our-appetite-more-keen-sonnet-118,10,6,14
poem/when-my-love-swears-she-made-truth-sonnet-138,12,4,14
poem/full-many-glorious-morning-have-i-seen-sonnet-33,12,12,14
poem/julius-caesar-act-iii-scene-i-o-pardon-me-thou-bleeding-piece-earth,8,2,23
poem/timon-athens-act-iv-scene-ii-good-fellows-all,17,2,31
