id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
c20-english/ep20152/Z200586158,6,2,12
english/kerpeter/Z300410015,13,11,16
american/am1258/Z200196105,12,2,16
english/gilfilla/Z400379001,23,14,36
english/wattwill/Z300523577,17,15,40
english-ed2/ep2555/Z300670851,62,40,72
c20-english/ep20140/Z200584300,12,6,21
c20-english/ep30038/Z200602346,7,6,28
english/wadethom/Z300516570,9,6,14
c20-american/am23096/Z300257119,18,2,26
c20-american/am20002/Z300202254,7,0,23
c20-american/am20018/Z400204612,14,0,37
c20-english/ep19001/Z300208167,26,14,32
english/phillip3/Z200461855,16,10,25
english/davieswi/Z200335496,10,7,11
c20-english/ep30061/Z400602684,21,4,60
english/wardedwa/Z300517351,25,20,30
english-ed2/ep2562/Z200671610,18,14,24
english/rossetdg/Z500478422,13,10,16
english/ramsayal/Z400471135,18,12,24
american/am1302/Z200197604,11,0,65
modern/car3303/Z300132806,18,2,57
english/william5/Z300537891,28,21,33
c20-american/am22128/Z300243672,14,0,35
english-ed2/ep2086/Z300626348,27,18,40
c20-english/ep30038/Z200602250,4,2,32
english/baylynat/Z300275060,23,16,36
c20-american/am30130/Z400369430,0,0,69
modern/car4401/Z200547381,25,12,36
american/am0598/Z200166883,24,20,24
c20-english/car3303/Z300132854,6,0,16
english/goodallc/Z300380058,33,30,40
english/wardedwa/Z200518112,24,20,32
american/am0474/Z200161275,20,12,20
c20-american/am22143/Z400556922,4,4,21
modern/car3001/Z200552416,0,0,21
c20-american/am30048/Z300359954,14,2,25
english/leydenjo/Z200415881,20,14,20
american/am0415/Z200159424,26,24,28
c20-english/ep20104/Z300579789,24,2,61
c20-english/ep12001/Z300301080,6,0,16
english/smartchr/Z300487537,36,26,38
english/needlerh/Z200449726,20,11,22
english/marstonp/Z400426056,12,12,14
english/swinburn/Z300503196,13,10,14
english/stuarthy/Z300499469,8,8,16
c20-american/am22028/Z200230797,20,4,34
c20-american/am22199/Z200248907,10,4,15
english/hannaypa/Z300385831,10,4,12
c20-american/am20014/Z400203672,0,0,11
american/am0577/Z200164991,60,46,72
american/am0065/Z300207491,18,12,24
english/barlowge/Z400269829,41,38,42
english/couttshy/Z200322386,14,12,14
english-ed2/ep2478/Z300663973,13,10,14
c20-english/ep83001/Z400299992,12,10,14
english-ed2/ep2178/Z200647972,12,7,16
english/wardfred/Z300519153,2,0,24
american/am0756/Z200172331,12,6,24
english/brownth1/Z300290466,31,18,44
modern/ent0801/Z300576288,21,12,23
c20-english/ep46001/Z300306763,7,0,24
c20-american/am20114/Z300221267,14,0,21
c20-american/am30181/Z400486406,6,2,17
english/sblawes/Z300491893,16,12,20
english/morriswi/Z300447396,14,10,27
english/rossetch/Z400477444,13,8,14
english/mackaych/Z200423263,18,16,20
c20-american/am20097/Z300217065,10,8,14
english/wesleych/Z400531821,6,4,16
english/wesleych/Z400526499,25,18,32
c20-english/ep20048/Z300596033,15,4,24
c20-american/am30012/Z300355063,6,0,16
english-ed2/ep2428/Z300661202,18,14,28
english/henleywi/Z300391972,15,0,42
c20-american/am20046/Z300212460,12,10,14
modern/car1801/Z500548362,14,2,30
english/procterb/Z300466975,26,20,28
english-ed2/ep2602/Z200674201,20,12,32
english/warrenjo/Z200521210,8,4,14
american/am1268/Z300196313,66,54,72
english/hardytho/Z200137578,15,8,15
english/dibdinth/Z400338970,10,10,13
c20-american/am23104/Z300258089,40,5,47
english-ed2/ep2456/Z200662841,23,18,24
english/baronrob/Z300273135,57,36,77
american/am1302/Z200198525,37,10,50
english/rossetch/Z400477252,9,9,14
english-ed2/clarejoh/Z400314104,18,15,25
english-ed2/miscell3/Z300440892,66,51,72
english/glanvilj/Z200379253,41,29,46
c20-american/am22124/Z400297615,8,2,16
c20-american/am30030/Z300358258,6,0,21
english/stuarthy/Z200501307,15,12,16
english/moultrie/Z400447858,12,12,14
faber/fa1301/Z300560137,9,7,16
english/rhoadesj/Z200473676,12,7,16
faber/fa1601/Z300562029,42,24,46
english/crabbege/Z300323626,25,22,34
c20-american/am30151/Z200371084,2,0,48
c20-american/am23006/Z300250429,2,2,18
modern/car3303/Z300132872,9,0,19
english/wiltonri/Z300538868,26,20,28
english/laurence/Z200414260,41,34,48
faber/fa1301/Z200560490,0,0,12
english/habingto/Z200383768,12,10,14
american/am1120/Z200190832,12,10,14
american/am1262/Z200196220,49,44,54
english/greenwel/Z200382475,26,20,27
english/pennecu2/Z200460258,68,51,79
english/sigerso1/Z200577564,6,4,16
c20-american/am30012/Z300355031,2,0,20
english/tupperma/Z200513706,19,13,26
english/finchann/Z300374301,42,28,51
english/cookeliz/Z300320076,15,14,24
c20-american/ad20001/Z300137905,76,25,89
c20-english/ep20027/Z300595258,2,0,18
english/costello/Z200320925,7,4,16
english/miscell3/Z200641261,18,16,18
english/wesleych/Z500531395,12,8,16
c20-american/am30030/Z300358131,11,4,22
english/taylored/Z300504523,28,16,36
english/byrongeo/Z300294664,38,34,42
english-ed2/ep2624/Z300676283,22,10,24
c20-african-american/da22001/Z300570610,18,3,44
c20-american/am22166/Z200245520,9,3,31
english/wesleych/Z400524899,22,22,32
c20-english/ep30176/Z300606850,22,0,47
c20-american/am22128/Z300243627,3,0,25
american/am1120/Z200191061,12,10,14
