,found_source,found,found_source_corpus,mean,stderr,count
0,closed,False,closed|antoniak-et-al,75.65217391304348,2.0032468054867203,460
1,closed,False,closed|chadwyck,65.91253228823372,0.44737205180093437,11227
2,closed,True,closed|antoniak-et-al,77.8061224489796,1.2122844811671054,1176
3,closed,True,closed|chadwyck,77.46478873239437,4.993832453115032,71
4,open,False,open|antoniak-et-al,75.72254335260115,1.458670898817603,865
5,open,False,open|chadwyck,64.17592811539372,0.7374049755287317,4229
6,open,True,open|antoniak-et-al,78.85862516212711,1.4714511583352097,771
7,open,True,open|chadwyck,62.5615763546798,2.404834020342447,406
